county_name,coverage_status,coverage_scope,quality_flag,discovery_status,source_name,source_type,source_path,county_focus_flag,parcel_count,parcel_match_count,matched_row_count,total_source_rows,filtered_county_rows,distinct_identifier_count,normalized_identifier_count,unmatched_row_count,ambiguous_row_count,unmatched_rate,top_mismatch_patterns,blocker_reason
adams,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,18758,23,23,4401,23,23,23,,,0.0,,
alcorn,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,22484,24,24,4401,24,24,24,,,0.0,,
amite,pending,pending,pending_subscription_gated,pending_subscription_gated,,subscription_bulk_download,,True,16823,0,0,,,,,,,,,"County source is discovered, but currently requires subscription access and is not yet wired into the local ingest pipeline."
attala,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,17202,7,7,4401,7,6,6,,,0.0,,
benton,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,9665,15,15,4401,15,15,15,,,0.0,,
bolivar,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,24447,57,57,4401,57,57,57,,,0.0,,
calhoun,pending,pending,pending_parser_needed,pending_parser_needed,,direct_download_page,,True,14297,0,0,,,,,,,,,"Public redemption source is discovered, but county-specific parsing and parcel linking are not yet implemented safely enough to enable in production."
carroll,pending,pending,pending_subscription_gated,pending_subscription_gated,,subscription_portal,,True,11060,0,0,,,,,,,,,"County source is discovered, but current access path is subscription-gated and not yet usable in the automated ingest pipeline."
chickasaw,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,13806,11,11,4401,11,11,11,,,0.0,,
choctaw,pending,pending,pending_subscription_gated,pending_subscription_gated,,subscription_portal,,True,9534,0,0,,,,,,,,,"County source is discovered, but current access path is subscription-gated and not yet usable in the automated ingest pipeline."
claiborne,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,8771,1,1,4401,1,1,1,,,0.0,,
clarke,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,16800,1,1,4401,1,1,1,,,0.0,,
clay,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,13443,4,4,4401,4,2,2,,,0.0,,
coahoma,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,16068,261,261,4401,261,148,148,,,0.0,,
copiah,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,22537,2,2,4401,2,2,2,,,0.0,,
covington,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,17326,1,1,4401,1,1,1,,,0.0,,
desoto,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,81377,73,73,4401,73,4,4,,,0.0,,
forrest,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,42441,217,217,4401,217,217,217,,,0.0,,
franklin,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,9873,1,1,4401,1,1,1,,,0.0,,
george,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,20308,16,16,4401,16,16,16,,,0.0,,
greene,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,13722,5,5,4401,5,5,5,,,0.0,,
grenada,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,16362,49,49,4401,49,48,48,,,0.0,,
hancock,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,52510,273,273,4401,273,242,242,,,0.0,,
harrison,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,106207,178,178,4401,178,178,178,,,0.0,,
holmes,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,16221,3,3,4401,3,3,3,,,0.0,,
humphreys,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,8468,16,16,4401,16,16,16,,,0.0,,
issaquena,pending,pending,pending_subscription_gated,pending_subscription_gated,,subscription_bulk_download,,True,2968,0,0,,,,,,,,,"County source is discovered, but currently requires subscription access and is not yet wired into the local ingest pipeline."
itawamba,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,16732,20,20,4401,20,20,20,,,0.0,,
jackson,partial,full,zero_match_review,,jackson_tax_sale_files,direct_download_page,data/tax_linked/ms/jackson/jackson_linked_tax_records.parquet,True,85646,0,0,0,0,0,0,7039,0,,county_format_divergence:7039,"County tax source loaded, but no linked parcel matches were produced."
jasper,stale,full,stale_source_review,,jasper_delinquent_tax_pdfs,direct_download_page,data/tax_linked/ms/jasper/jasper_linked_tax_records.parquet,True,19472,1320,1320,1320,1320,1320,1320,76,410,0.0,no_candidate_match:76,
jefferson,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,8609,6,6,4401,6,6,6,,,0.0,,
jefferson_davis,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,15072,15,15,4401,15,15,15,,,0.0,,
jones,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,41488,114,114,4401,114,114,114,,,0.0,,
kemper,pending,pending,pending_subscription_gated,pending_subscription_gated,,subscription_bulk_download,,True,11876,0,0,,,,,,,,,"County source is discovered, but currently requires subscription access and is not yet wired into the local ingest pipeline."
lafayette,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,32386,5,5,4401,5,5,5,,,0.0,,
lamar,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,34695,16,16,4401,16,16,16,,,0.0,,
lauderdale,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,46852,519,519,4401,519,519,519,,,0.0,,
lawrence,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,13127,10,10,4401,10,10,10,,,0.0,,
leake,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,17219,3,3,4401,3,3,3,,,0.0,,
lee,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,43597,69,69,4401,69,69,69,,,0.0,,
leflore,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,17147,50,50,4401,50,50,50,,,0.0,,
lincoln,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,26185,18,18,4401,18,18,18,,,0.0,,
lowndes,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,31915,52,52,4401,52,52,52,,,0.0,,
madison,stale,full,stale_source_review,,madison_tax_sale_parcel_information,direct_download_page,data/tax_linked/ms/madison/madison_linked_tax_records.parquet,True,58253,2528,2528,2528,2528,2528,2528,59,0,0.0,county_format_divergence:59,
marion,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,20828,34,34,4401,34,34,34,,,0.0,,
marshall,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,26379,37,37,4401,37,37,37,,,0.0,,
monroe,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,28402,66,66,4401,66,66,66,,,0.0,,
montgomery,pending,pending,pending_subscription_gated,pending_subscription_gated,,subscription_portal,,True,10945,0,0,,,,,,,,,"County source is discovered, but current access path is subscription-gated and not yet usable in the automated ingest pipeline."
neshoba,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,20409,3,3,4401,3,3,3,,,0.0,,
newton,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,17958,9,9,4401,9,9,9,,,0.0,,
noxubee,pending,pending,pending_subscription_gated,pending_subscription_gated,,subscription_bulk_download,,True,10327,0,0,,,,,,,,,"County source is discovered, but currently requires subscription access and is not yet wired into the local ingest pipeline."
oktibbeha,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,24458,7,7,4401,7,7,7,,,0.0,,
panola,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,24724,54,54,4401,54,52,52,,,0.0,,
pearl_river,stale,partial,stale_source_review,,sos_tax_forfeited_lands_gis,statewide_public_inventory,data/tax_linked/ms/statewide/sos_forfeited_linked_tax_records.parquet,True,44866,113,113,4401,113,113,113,,,0.0,,
