county_name,issue_type,severity,observed_value,details
adams,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
alcorn,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
attala,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
benton,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
bolivar,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
chickasaw,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
claiborne,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
clarke,suspiciously_low_match_count,warning,1.0,"County source loaded, but matched parcel count is unusually low for county size."
clarke,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
clay,suspiciously_low_match_count,warning,4.0,"County source loaded, but matched parcel count is unusually low for county size."
clay,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
coahoma,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
copiah,suspiciously_low_match_count,warning,2.0,"County source loaded, but matched parcel count is unusually low for county size."
copiah,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
covington,suspiciously_low_match_count,warning,1.0,"County source loaded, but matched parcel count is unusually low for county size."
covington,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
desoto,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
forrest,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
franklin,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
george,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
greene,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
grenada,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
hancock,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
harrison,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
hinds,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
holmes,suspiciously_low_match_count,warning,3.0,"County source loaded, but matched parcel count is unusually low for county size."
holmes,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
humphreys,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
itawamba,null_rate::delinquent_year,warning,1.0,Matched parcel null rate for delinquent_year.
